lat,lon,conc,Submission,radius,sqrt
37.49,-122.26,37.49-122.26,10/9/15 9:53,6,2.449489743
37.49,-122.26,37.49-122.26,10/9/15 9:56,7,2.645751311
37.72,-122.44,37.72-122.44,10/9/15 10:25,2,1.414213562
38.53,-122.81,38.53-122.81,10/9/15 10:25,11,3.31662479
37.94,-122.31,37.94-122.31,10/9/15 10:35,1,1
37.78,-122.24,37.78-122.24,10/9/15 10:37,1,1
37.81,-121.97,37.81-121.97,10/9/15 11:25,5,2.236067977
37.77,-122.27,37.77-122.27,10/9/15 11:52,3,1.732050808
37.93,-122.53,37.93-122.53,10/9/15 11:59,3,1.732050808
37.75,-122.43,37.75-122.43,10/9/15 12:01,6,2.449489743
37.3,-122.09,37.3-122.09,10/9/15 12:05,3,1.732050808
37.81,-121.97,37.81-121.97,10/9/15 12:12,6,2.449489743
38.55,-122.15,38.55-122.15,10/9/15 12:22,3,1.732050808
37.28,-121.98,37.28-121.98,10/9/15 12:23,1,1
38.21,-122.76,38.21-122.76,10/9/15 12:31,3,1.732050808
38.57,-121.17,38.57-121.17,10/9/15 12:38,1,1
41.31,-105.58,41.31-105.58,10/9/15 12:51,1,1
38.45,-122.59,38.45-122.59,10/9/15 13:07,9,3
38.45,-122.59,38.45-122.59,10/9/15 13:10,10,3.16227766
47.9,-122.18,47.9-122.18,10/9/15 13:10,1,1
38.49,-121.53,38.49-121.53,10/9/15 13:27,5,2.236067977
38.68,-121.22,38.68-121.22,10/9/15 13:47,2,1.414213562
41.18,-73.42,41.18-73.42,10/9/15 13:47,1,1
37.98,-122.15,37.98-122.15,10/9/15 13:50,2,1.414213562
30.51,-97.67,30.51-97.67,10/9/15 14:20,1,1
42.5,-83.15,42.5-83.15,10/9/15 14:23,1,1
30.26,-97.74,30.26-97.74,10/9/15 14:28,1,1
38.31,-122.7,38.31-122.7,10/9/15 15:19,2,1.414213562
37.97,-122.5,37.97-122.5,10/9/15 15:23,6,2.449489743
37.91,-122.07,37.91-122.07,10/9/15 15:27,5,2.236067977
34.13,-118.33,34.13-118.33,10/9/15 15:28,1,1
39.27,-122.05,39.27-122.05,10/9/15 15:39,1,1
39.27,-122.05,39.27-122.05,10/9/15 15:49,2,1.414213562
34.01,-119.72,34.01-119.72,10/9/15 15:56,1,1
38.56,-121.43,38.56-121.43,10/9/15 16:01,2,1.414213562
39.05,-121.61,39.05-121.61,10/9/15 16:11,1,1
37.22,-121.99,37.22-121.99,10/9/15 16:22,3,1.732050808
37.74,-122.41,37.74-122.41,10/9/15 16:31,6,2.449489743
38.43,-122.67,38.43-122.67,10/9/15 16:35,14,3.741657387
37.74,-122.41,37.74-122.41,10/9/15 16:38,7,2.645751311
38.4,-122.86,38.4-122.86,10/9/15 16:40,11,3.31662479
38.4,-122.86,38.4-122.86,10/9/15 16:42,12,3.464101615
34.17,-118.95,34.17-118.95,10/9/15 16:44,1,1
38.4,-122.86,38.4-122.86,10/9/15 16:44,13,3.605551275
38.4,-122.86,38.4-122.86,10/9/15 16:46,14,3.741657387
33.62,-117.87,33.62-117.87,10/9/15 16:59,4,2
38.45,-122.68,38.45-122.68,10/9/15 17:00,8,2.828427125
37.41,-122.13,37.41-122.13,10/9/15 17:30,7,2.645751311
44.38,-73.23,44.38-73.23,10/9/15 17:53,1,1
37.25,-121.92,37.25-121.92,10/9/15 18:06,3,1.732050808
37.45,-122.17,37.45-122.17,10/9/15 18:21,6,2.449489743
38.57,-121.46,38.57-121.46,10/9/15 18:28,5,2.236067977
44.38,-73.23,44.38-73.23,10/9/15 18:39,2,1.414213562
43.53,-72.96,43.53-72.96,10/9/15 18:41,1,1
25.77,-80.2,25.77-80.2,10/9/15 18:51,1,1
37.41,-122.05,37.41-122.05,10/9/15 18:59,6,2.449489743
37.3,-122.09,37.3-122.09,10/9/15 19:04,4,2
42.2,-70.94,42.2-70.94,10/9/15 19:04,1,1
33.83,-118.38,33.83-118.38,10/9/15 19:14,2,1.414213562
44.38,-73.23,44.38-73.23,10/9/15 19:15,3,1.732050808
43.53,-72.96,43.53-72.96,10/9/15 19:28,2,1.414213562
38.61,-120.97,38.61-120.97,10/9/15 19:31,4,2
37.73,-122.24,37.73-122.24,10/9/15 19:33,1,1
44.38,-73.23,44.38-73.23,10/9/15 19:39,4,2
37.73,-122.24,37.73-122.24,10/9/15 19:40,2,1.414213562
36.84,-119.82,36.84-119.82,10/9/15 19:50,1,1
39.47,-123.63,39.47-123.63,10/9/15 20:09,1,1
37.34,-121.95,37.34-121.95,10/9/15 20:16,1,1
38.43,-122.67,38.43-122.67,10/9/15 20:22,15,3.872983346
36.18,-119.36,36.18-119.36,10/9/15 20:28,1,1
38.45,-122.68,38.45-122.68,10/9/15 20:30,9,3
38.92,-121.07,38.92-121.07,10/9/15 20:30,4,2
36.18,-115.38,36.18-115.38,10/9/15 20:32,1,1
37.83,-122.1,37.83-122.1,10/9/15 20:44,1,1
37.83,-122.1,37.83-122.1,10/9/15 20:46,2,1.414213562
38.5,-122.76,38.5-122.76,10/9/15 20:53,10,3.16227766
35.98,-115.11,35.98-115.11,10/9/15 20:54,1,1
37.74,-122.41,37.74-122.41,10/9/15 20:56,8,2.828427125
37.74,-122.41,37.74-122.41,10/9/15 21:01,9,3
37.89,-122.56,37.89-122.56,10/9/15 21:19,10,3.16227766
37.44,-122.41,37.44-122.41,10/9/15 21:24,2,1.414213562
34.16,-118.08,34.16-118.08,10/9/15 21:33,1,1
38.58,-121.37,38.58-121.37,10/9/15 21:35,3,1.732050808
37.32,-121.91,37.32-121.91,10/9/15 21:36,1,1
37.38,-122.08,37.38-122.08,10/9/15 21:36,3,1.732050808
38.45,-122.68,38.45-122.68,10/9/15 21:41,10,3.16227766
37.32,-121.91,37.32-121.91,10/9/15 21:42,2,1.414213562
34.16,-118.08,34.16-118.08,10/9/15 21:43,2,1.414213562
38.02,-122.54,38.02-122.54,10/9/15 21:43,1,1
38.45,-122.68,38.45-122.68,10/9/15 21:47,11,3.31662479
37.38,-122.01,37.38-122.01,10/9/15 21:50,1,1
38.24,-122.46,38.24-122.46,10/9/15 21:52,3,1.732050808
38.45,-122.68,38.45-122.68,10/9/15 21:52,12,3.464101615
33.79,-118.29,33.79-118.29,10/9/15 22:00,1,1
38.53,-122.81,38.53-122.81,10/9/15 22:12,12,3.464101615
37.86,-122.24,37.86-122.24,10/9/15 22:16,1,1
37.25,-121.88,37.25-121.88,10/9/15 22:17,3,1.732050808
37.72,-122.44,37.72-122.44,10/9/15 22:17,3,1.732050808
33.91,-118.34,33.91-118.34,10/9/15 22:22,1,1
33.75,-118.31,33.75-118.31,10/9/15 22:30,1,1
37.42,-122,37.42-122,10/9/15 22:31,1,1
37.74,-122.41,37.74-122.41,10/9/15 22:43,10,3.16227766
38.53,-122.81,38.53-122.81,10/9/15 22:44,13,3.605551275
38.4,-122.86,38.4-122.86,10/9/15 22:56,15,3.872983346
37.27,-121.84,37.27-121.84,10/9/15 23:30,1,1
38.54,-121.72,38.54-121.72,10/9/15 23:30,1,1
37.27,-121.84,37.27-121.84,10/9/15 23:37,2,1.414213562
38.23,-122.56,38.23-122.56,10/9/15 23:45,6,2.449489743
37.89,-122.47,37.89-122.47,10/9/15 23:52,2,1.414213562
37.9,-122.52,37.9-122.52,10/10/15 1:37,1,1
29.76,-95.38,29.76-95.38,11/2/15 10:01,1,1
38.6,-121.26,38.6-121.26,11/2/15 10:01,1,1
38.92,-121.07,38.92-121.07,11/2/15 10:01,5,2.236067977
39.09,-94.58,39.09-94.58,11/2/15 10:01,1,1
33.62,-117.87,33.62-117.87,11/2/15 10:02,5,2.236067977
34.15,-118.49,34.15-118.49,11/2/15 10:02,1,1
37.29,-121.88,37.29-121.88,11/2/15 10:02,3,1.732050808
37.35,-122.03,37.35-122.03,11/2/15 10:02,2,1.414213562
37.38,-122.07,37.38-122.07,11/2/15 10:02,1,1
37.38,-122.07,37.38-122.07,11/2/15 10:02,2,1.414213562
37.41,-122.05,37.41-122.05,11/2/15 10:02,7,2.645751311
37.52,-122.35,37.52-122.35,11/2/15 10:02,2,1.414213562
37.76,-122.48,37.76-122.48,11/2/15 10:02,1,1
37.78,-122.43,37.78-122.43,11/2/15 10:02,5,2.236067977
37.8,-122.43,37.8-122.43,11/2/15 10:02,5,2.236067977
37.92,-122.51,37.92-122.51,11/2/15 10:02,3,1.732050808
37.93,-122.53,37.93-122.53,11/2/15 10:02,4,2
37.94,-122.56,37.94-122.56,11/2/15 10:02,2,1.414213562
38.31,-122.7,38.31-122.7,11/2/15 10:02,3,1.732050808
38.43,-122.67,38.43-122.67,11/2/15 10:02,16,4
38.45,-122.68,38.45-122.68,11/2/15 10:02,13,3.605551275
38.76,-121.16,38.76-121.16,11/2/15 10:02,2,1.414213562
38.76,-121.16,38.76-121.16,11/2/15 10:02,3,1.732050808
38.92,-121.07,38.92-121.07,11/2/15 10:02,6,2.449489743
38.92,-121.07,38.92-121.07,11/2/15 10:02,7,2.645751311
39.57,-105.14,39.57-105.14,11/2/15 10:02,1,1
40.32,-74.62,40.32-74.62,11/2/15 10:02,1,1
43.5,-110.87,43.5-110.87,11/2/15 10:02,1,1
47.58,-122.3,47.58-122.3,11/2/15 10:02,1,1
32.43,-110.95,32.43-110.95,11/2/15 10:03,1,1
33.52,-117.61,33.52-117.61,11/2/15 10:03,2,1.414213562
33.6,-117.71,33.6-117.71,11/2/15 10:03,1,1
33.6,-117.86,33.6-117.86,11/2/15 10:03,1,1
33.75,-118.13,33.75-118.13,11/2/15 10:03,2,1.414213562
34.01,-119.72,34.01-119.72,11/2/15 10:03,2,1.414213562
34.14,-118.16,34.14-118.16,11/2/15 10:03,1,1
36.09,-115.38,36.09-115.38,11/2/15 10:03,1,1
37.17,-121.65,37.17-121.65,11/2/15 10:03,3,1.732050808
37.19,-121.83,37.19-121.83,11/2/15 10:03,1,1
37.22,-121.78,37.22-121.78,11/2/15 10:03,1,1
37.23,-121.95,37.23-121.95,11/2/15 10:03,3,1.732050808
37.25,-122.06,37.25-122.06,11/2/15 10:03,4,2
37.45,-122.17,37.45-122.17,11/2/15 10:03,7,2.645751311
37.45,-122.17,37.45-122.17,11/2/15 10:03,8,2.828427125
37.49,-122.26,37.49-122.26,11/2/15 10:03,8,2.828427125
37.56,-122.37,37.56-122.37,11/2/15 10:03,2,1.414213562
37.56,-122.37,37.56-122.37,11/2/15 10:03,3,1.732050808
37.72,-122.44,37.72-122.44,11/2/15 10:03,4,2
37.73,-122.45,37.73-122.45,11/2/15 10:03,2,1.414213562
37.73,-122.45,37.73-122.45,11/2/15 10:03,3,1.732050808
37.74,-122.41,37.74-122.41,11/2/15 10:03,11,3.31662479
37.75,-122.13,37.75-122.13,11/2/15 10:03,2,1.414213562
37.75,-122.43,37.75-122.43,11/2/15 10:03,7,2.645751311
37.76,-122.39,37.76-122.39,11/2/15 10:03,5,2.236067977
37.76,-122.48,37.76-122.48,11/2/15 10:03,2,1.414213562
37.77,-122.41,37.77-122.41,11/2/15 10:03,3,1.732050808
37.78,-122.43,37.78-122.43,11/2/15 10:03,6,2.449489743
37.8,-122.43,37.8-122.43,11/2/15 10:03,6,2.449489743
37.83,-122.22,37.83-122.22,11/2/15 10:03,2,1.414213562
37.84,-122.23,37.84-122.23,11/2/15 10:03,3,1.732050808
37.87,-122.26,37.87-122.26,11/2/15 10:03,2,1.414213562
37.89,-122.56,37.89-122.56,11/2/15 10:03,11,3.31662479
37.89,-122.56,37.89-122.56,11/2/15 10:03,12,3.464101615
37.89,-122.56,37.89-122.56,11/2/15 10:03,13,3.605551275
37.91,-122.3,37.91-122.3,11/2/15 10:03,2,1.414213562
37.97,-122.5,37.97-122.5,11/2/15 10:03,7,2.645751311
38.13,-122.56,38.13-122.56,11/2/15 10:03,1,1
38.23,-122.29,38.23-122.29,11/2/15 10:03,1,1
38.35,-121.42,38.35-121.42,11/2/15 10:03,1,1
38.43,-122.67,38.43-122.67,11/2/15 10:03,17,4.123105626
38.45,-122.68,38.45-122.68,11/2/15 10:03,14,3.741657387
38.45,-122.68,38.45-122.68,11/2/15 10:03,15,3.872983346
38.45,-122.68,38.45-122.68,11/2/15 10:03,16,4
38.56,-121.43,38.56-121.43,11/2/15 10:03,3,1.732050808
38.58,-121.37,38.58-121.37,11/2/15 10:03,4,2
38.63,-122.89,38.63-122.89,11/2/15 10:03,1,1
38.63,-122.89,38.63-122.89,11/2/15 10:03,2,1.414213562
38.68,-121.05,38.68-121.05,11/2/15 10:03,6,2.449489743
38.68,-121.22,38.68-121.22,11/2/15 10:03,3,1.732050808
39.18,-120.14,39.18-120.14,11/2/15 10:03,2,1.414213562
39.73,-105.21,39.73-105.21,11/2/15 10:03,1,1
39.74,-121.83,39.74-121.83,11/2/15 10:03,2,1.414213562
39.96,-105.14,39.96-105.14,11/2/15 10:03,1,1
40.02,-105.25,40.02-105.25,11/2/15 10:03,1,1
40.35,-74.65,40.35-74.65,11/2/15 10:03,1,1
41.65,-91.53,41.65-91.53,11/2/15 10:03,1,1
41.65,-91.53,41.65-91.53,11/2/15 10:03,2,1.414213562
47.64,-122.53,47.64-122.53,11/2/15 10:03,1,1
33.62,-117.93,33.62-117.93,11/2/15 10:04,1,1
33.83,-112.11,33.83-112.11,11/2/15 10:04,1,1
33.89,-117.44,33.89-117.44,11/2/15 10:04,1,1
35.25,-120.62,35.25-120.62,11/2/15 10:04,5,2.236067977
36.9,-119.75,36.9-119.75,11/2/15 10:04,1,1
37.13,-121.94,37.13-121.94,11/2/15 10:04,3,1.732050808
37.23,-121.95,37.23-121.95,11/2/15 10:04,4,2
37.3,-122.09,37.3-122.09,11/2/15 10:04,5,2.236067977
37.41,-122.05,37.41-122.05,11/2/15 10:04,8,2.828427125
37.41,-122.05,37.41-122.05,11/2/15 10:04,9,3
37.41,-122.17,37.41-122.17,11/2/15 10:04,2,1.414213562
37.54,-122.3,37.54-122.3,11/2/15 10:04,2,1.414213562
37.72,-122.44,37.72-122.44,11/2/15 10:04,5,2.236067977
37.75,-121.12,37.75-121.12,11/2/15 10:04,1,1
37.78,-122.46,37.78-122.46,11/2/15 10:04,3,1.732050808
37.78,-122.46,37.78-122.46,11/2/15 10:04,4,2
37.81,-121.97,37.81-121.97,11/2/15 10:04,7,2.645751311
37.86,-122.25,37.86-122.25,11/2/15 10:04,2,1.414213562
37.86,-122.28,37.86-122.28,11/2/15 10:04,2,1.414213562
37.89,-122.19,37.89-122.19,11/2/15 10:04,4,2
37.89,-122.56,37.89-122.56,11/2/15 10:04,14,3.741657387
37.89,-122.56,37.89-122.56,11/2/15 10:04,15,3.872983346
37.94,-122.56,37.94-122.56,11/2/15 10:04,3,1.732050808
38.02,-122.54,38.02-122.54,11/2/15 10:04,2,1.414213562
38.02,-122.54,38.02-122.54,11/2/15 10:04,3,1.732050808
38.21,-122.76,38.21-122.76,11/2/15 10:04,4,2
38.31,-122.64,38.31-122.64,11/2/15 10:04,2,1.414213562
38.4,-122.86,38.4-122.86,11/2/15 10:04,16,4
38.55,-121.32,38.55-121.32,11/2/15 10:04,1,1
38.56,-121.43,38.56-121.43,11/2/15 10:04,4,2
38.62,-121.38,38.62-121.38,11/2/15 10:04,1,1
38.67,-121.14,38.67-121.14,11/2/15 10:04,9,3
38.67,-121.14,38.67-121.14,11/2/15 10:04,10,3.16227766
38.68,-121.22,38.68-121.22,11/2/15 10:04,4,2
38.76,-121.16,38.76-121.16,11/2/15 10:04,4,2
38.76,-121.16,38.76-121.16,11/2/15 10:04,5,2.236067977
39.33,-120.24,39.33-120.24,11/2/15 10:04,2,1.414213562
40.71,-73.99,40.71-73.99,11/2/15 10:04,4,2
40.85,-124.05,40.85-124.05,11/2/15 10:04,1,1
47.61,-122.2,47.61-122.2,11/2/15 10:04,2,1.414213562
32.85,-117.2,32.85-117.2,11/2/15 10:05,1,1
33.55,-117.78,33.55-117.78,11/2/15 10:05,2,1.414213562
33.55,-117.78,33.55-117.78,11/2/15 10:05,3,1.732050808
33.57,-117.72,33.57-117.72,11/2/15 10:05,1,1
35.11,-106.62,35.11-106.62,11/2/15 10:05,1,1
36.67,-121.79,36.67-121.79,11/2/15 10:05,1,1
36.93,-119.56,36.93-119.56,11/2/15 10:05,3,1.732050808
37.3,-122.09,37.3-122.09,11/2/15 10:05,6,2.449489743
37.45,-122.17,37.45-122.17,11/2/15 10:05,9,3
37.49,-122.26,37.49-122.26,11/2/15 10:05,9,3
37.89,-122.56,37.89-122.56,11/2/15 10:05,16,4
37.89,-122.56,37.89-122.56,11/2/15 10:05,17,4.123105626
37.9,-122.26,37.9-122.26,11/2/15 10:05,1,1
38.43,-122.67,38.43-122.67,11/2/15 10:05,18,4.242640687
38.45,-122.68,38.45-122.68,11/2/15 10:05,17,4.123105626
38.65,-121.25,38.65-121.25,11/2/15 10:05,1,1
38.74,-121.25,38.74-121.25,11/2/15 10:05,3,1.732050808
38.81,-121.16,38.81-121.16,11/2/15 10:05,1,1
39.01,-77.28,39.01-77.28,11/2/15 10:05,1,1
42.01,-87.84,42.01-87.84,11/2/15 10:05,1,1
33.54,-117.78,33.54-117.78,11/2/15 10:06,1,1
33.63,-117.81,33.63-117.81,11/2/15 10:06,1,1
34.01,-117.27,34.01-117.27,11/2/15 10:06,1,1
37.22,-121.99,37.22-121.99,11/2/15 10:06,4,2
37.25,-122.06,37.25-122.06,11/2/15 10:06,5,2.236067977
37.27,-121.84,37.27-121.84,11/2/15 10:06,3,1.732050808
37.36,-122.14,37.36-122.14,11/2/15 10:06,1,1
37.49,-122.26,37.49-122.26,11/2/15 10:06,10,3.16227766
37.57,-122.32,37.57-122.32,11/2/15 10:06,2,1.414213562
37.74,-122.41,37.74-122.41,11/2/15 10:06,12,3.464101615
37.89,-122.47,37.89-122.47,11/2/15 10:06,3,1.732050808
37.89,-122.56,37.89-122.56,11/2/15 10:06,18,4.242640687
37.94,-122.31,37.94-122.31,11/2/15 10:06,2,1.414213562
38.31,-122.7,38.31-122.7,11/2/15 10:06,4,2
38.62,-121.38,38.62-121.38,11/2/15 10:06,2,1.414213562
38.76,-121.16,38.76-121.16,11/2/15 10:06,6,2.449489743
38.78,-122.58,38.78-122.58,11/2/15 10:06,1,1
39.18,-120.14,39.18-120.14,11/2/15 10:06,3,1.732050808
39.18,-120.14,39.18-120.14,11/2/15 10:06,4,2
40.02,-105.04,40.02-105.04,11/2/15 10:06,1,1
43.77,-114.62,43.77-114.62,11/2/15 10:06,1,1
45.6,-122.51,45.6-122.51,11/2/15 10:06,1,1
45.6,-122.51,45.6-122.51,11/2/15 10:06,2,1.414213562
33.6,-117.86,33.6-117.86,11/2/15 10:07,2,1.414213562
36.46,-121.82,36.46-121.82,11/2/15 10:07,2,1.414213562
37.13,-121.94,37.13-121.94,11/2/15 10:07,4,2
37.21,-121.86,37.21-121.86,11/2/15 10:07,1,1
37.45,-122.17,37.45-122.17,11/2/15 10:07,10,3.16227766
37.49,-122.21,37.49-122.21,11/2/15 10:07,2,1.414213562
37.56,-122.37,37.56-122.37,11/2/15 10:07,4,2
37.67,-122.47,37.67-122.47,11/2/15 10:07,1,1
37.68,-121.75,37.68-121.75,11/2/15 10:07,2,1.414213562
37.78,-121.88,37.78-121.88,11/2/15 10:07,2,1.414213562
38.43,-122.67,38.43-122.67,11/2/15 10:07,19,4.358898944
38.45,-122.68,38.45-122.68,11/2/15 10:07,18,4.242640687
38.76,-121.16,38.76-121.16,11/2/15 10:07,7,2.645751311
41.13,-124.04,41.13-124.04,11/2/15 10:07,1,1
61.11,-149.9,61.11-149.9,11/2/15 10:07,1,1
34,-118.03,34-118.03,11/2/15 10:08,1,1
35.16,-120.43,35.16-120.43,11/2/15 10:08,1,1
37.13,-121.94,37.13-121.94,11/2/15 10:08,5,2.236067977
37.36,-122.14,37.36-122.14,11/2/15 10:08,2,1.414213562
37.45,-122.1,37.45-122.1,11/2/15 10:08,2,1.414213562
37.96,-122.55,37.96-122.55,11/2/15 10:08,1,1
38.92,-121.07,38.92-121.07,11/2/15 10:08,8,2.828427125
38.92,-121.07,38.92-121.07,11/2/15 10:08,9,3
41.89,-87.81,41.89-87.81,11/2/15 10:08,2,1.414213562
45.23,-122.8,45.23-122.8,11/2/15 10:08,1,1
33.02,-117.12,33.02-117.12,11/2/15 10:09,2,1.414213562
34,-117.12,34-117.12,11/2/15 10:09,1,1
34.01,-119.72,34.01-119.72,11/2/15 10:09,3,1.732050808
37.25,-122.06,37.25-122.06,11/2/15 10:09,6,2.449489743
37.29,-121.88,37.29-121.88,11/2/15 10:09,4,2
40.02,-105.25,40.02-105.25,11/2/15 10:09,2,1.414213562
37.13,-121.94,37.13-121.94,11/2/15 10:10,6,2.449489743
38.31,-122.7,38.31-122.7,11/2/15 10:10,5,2.236067977
38.53,-121.66,38.53-121.66,11/2/15 10:10,2,1.414213562
38.92,-121.07,38.92-121.07,11/2/15 10:10,10,3.16227766
40.93,-73.82,40.93-73.82,11/2/15 10:10,3,1.732050808
36,-95.97,36-95.97,11/2/15 10:11,1,1
36.02,-80.38,36.02-80.38,11/2/15 10:11,1,1
36.12,-95.91,36.12-95.91,11/2/15 10:11,2,1.414213562
37.22,-121.78,37.22-121.78,11/2/15 10:11,2,1.414213562
37.76,-122.44,37.76-122.44,11/2/15 10:11,4,2
37.84,-122.23,37.84-122.23,11/2/15 10:11,4,2
37.91,-122.3,37.91-122.3,11/2/15 10:11,3,1.732050808
34.41,-119.7,34.41-119.7,11/2/15 10:12,1,1
37.78,-122.43,37.78-122.43,11/2/15 10:12,7,2.645751311
38.34,-122.7,38.34-122.7,11/2/15 10:12,4,2
38.63,-122.89,38.63-122.89,11/2/15 10:12,3,1.732050808
37.9,-122.11,37.9-122.11,11/2/15 10:13,3,1.732050808
33.61,-117.54,33.61-117.54,11/2/15 10:14,1,1
37.46,-122.24,37.46-122.24,11/2/15 10:14,4,2
38.76,-121.16,38.76-121.16,11/2/15 10:14,8,2.828427125
33.62,-117.87,33.62-117.87,11/2/15 10:15,6,2.449489743
34.01,-119.72,34.01-119.72,11/2/15 10:15,4,2
35.45,-120.71,35.45-120.71,11/2/15 10:15,1,1
37.46,-122.24,37.46-122.24,11/2/15 10:15,5,2.236067977
37.98,-122.6,37.98-122.6,11/2/15 10:15,1,1
33.85,-117.79,33.85-117.79,11/2/15 10:16,1,1
38.45,-122.59,38.45-122.59,11/2/15 10:16,11,3.31662479
37.76,-122.39,37.76-122.39,11/2/15 10:17,6,2.449489743
34.44,-119.61,34.44-119.61,11/2/15 10:18,1,1
37.89,-122.56,37.89-122.56,11/2/15 10:18,19,4.358898944
41.92,-73.9,41.92-73.9,11/2/15 10:18,1,1
38.5,-122.76,38.5-122.76,11/2/15 10:19,11,3.31662479
38.5,-122.76,38.5-122.76,11/2/15 10:20,12,3.464101615
37.72,-122.44,37.72-122.44,11/2/15 10:22,6,2.449489743
37.86,-122.27,37.86-122.27,11/2/15 10:22,1,1
38.68,-121.05,38.68-121.05,11/2/15 10:22,7,2.645751311
37.68,-121.75,37.68-121.75,11/2/15 10:23,3,1.732050808
37.74,-122.41,37.74-122.41,11/2/15 10:23,13,3.605551275
37.86,-122.27,37.86-122.27,11/2/15 10:23,2,1.414213562
37.25,-122.06,37.25-122.06,11/2/15 10:24,7,2.645751311
38.45,-122.68,38.45-122.68,11/2/15 10:24,19,4.358898944
40.64,-73.94,40.64-73.94,11/2/15 10:24,1,1
37.89,-122.56,37.89-122.56,11/2/15 10:25,20,4.472135955
37.75,-122.43,37.75-122.43,11/2/15 10:28,8,2.828427125
38.76,-121.16,38.76-121.16,11/2/15 10:32,9,3
38.78,-77.17,38.78-77.17,11/2/15 10:33,1,1
37.06,-122.01,37.06-122.01,11/2/15 10:35,2,1.414213562
38.8,-77.32,38.8-77.32,11/2/15 10:39,1,1
37.45,-122.1,37.45-122.1,11/2/15 10:40,3,1.732050808
38.5,-122.76,38.5-122.76,11/2/15 10:44,13,3.605551275
37.45,-122.1,37.45-122.1,11/2/15 10:47,4,2
34.01,-119.72,34.01-119.72,11/2/15 10:50,5,2.236067977
37.94,-122.56,37.94-122.56,11/2/15 10:51,4,2
38.43,-122.67,38.43-122.67,11/2/15 10:52,20,4.472135955
37.23,-121.95,37.23-121.95,11/2/15 10:54,5,2.236067977
38.55,-121.45,38.55-121.45,11/2/15 10:54,1,1
37.74,-122.48,37.74-122.48,11/2/15 10:56,2,1.414213562
40.8,-124.15,40.8-124.15,11/2/15 11:01,1,1
34.2,-118.05,34.2-118.05,11/2/15 11:03,1,1
35.23,-81.07,35.23-81.07,11/2/15 11:03,1,1
37.89,-122.56,37.89-122.56,11/2/15 11:03,21,4.582575695
37.93,-122.53,37.93-122.53,11/2/15 11:07,5,2.236067977
38.82,-77.08,38.82-77.08,11/2/15 11:07,1,1
38.43,-122.67,38.43-122.67,11/2/15 11:09,21,4.582575695
37.81,-121.97,37.81-121.97,11/2/15 11:13,8,2.828427125
37.78,-122.43,37.78-122.43,11/2/15 11:15,8,2.828427125
37.74,-122.44,37.74-122.44,11/2/15 11:17,2,1.414213562
38.48,-121.64,38.48-121.64,11/2/15 11:25,1,1
32.17,-110.79,32.17-110.79,11/2/15 11:27,1,1
35.11,-106.62,35.11-106.62,11/2/15 11:29,2,1.414213562
37.92,-122.51,37.92-122.51,11/2/15 11:29,4,2
34.43,-119.77,34.43-119.77,11/2/15 11:33,1,1
32.33,-106.75,32.33-106.75,11/2/15 11:36,1,1
37.77,-122.41,37.77-122.41,11/2/15 11:37,4,2
37.02,-121.94,37.02-121.94,11/2/15 12:07,1,1
37.54,-122.3,37.54-122.3,11/2/15 12:24,3,1.732050808
38.53,-122.81,38.53-122.81,11/2/15 12:55,14,3.741657387
37.57,-122.34,37.57-122.34,11/2/15 12:57,1,1
37.56,-122.37,37.56-122.37,11/2/15 12:59,5,2.236067977
38.02,-122.54,38.02-122.54,11/2/15 13:03,4,2
37.3,-122.09,37.3-122.09,11/2/15 13:07,7,2.645751311
38.21,-122.76,38.21-122.76,11/2/15 13:20,5,2.236067977
38.45,-122.59,38.45-122.59,11/2/15 13:20,12,3.464101615
37.8,-122.43,37.8-122.43,11/2/15 13:24,7,2.645751311
29.45,-98.5,29.45-98.5,11/2/15 13:28,1,1
37.3,-122.09,37.3-122.09,11/2/15 13:38,8,2.828427125
38.43,-122.67,38.43-122.67,11/2/15 13:42,22,4.69041576
42.12,-88.27,42.12-88.27,11/2/15 13:44,1,1
37.41,-122.13,37.41-122.13,11/2/15 13:49,8,2.828427125
38.45,-122.59,38.45-122.59,11/2/15 13:52,13,3.605551275
37.9,-122.11,37.9-122.11,11/2/15 14:12,4,2
33.14,-96.81,33.14-96.81,11/2/15 14:18,1,1
37.76,-122.48,37.76-122.48,11/2/15 14:20,3,1.732050808
38.45,-122.68,38.45-122.68,11/2/15 14:48,20,4.472135955
34.01,-118.49,34.01-118.49,11/2/15 15:22,1,1
37.89,-122.56,37.89-122.56,11/2/15 15:35,22,4.69041576
38.45,-122.68,38.45-122.68,11/2/15 15:39,21,4.582575695
38.4,-122.86,38.4-122.86,11/2/15 15:56,17,4.123105626
37.52,-122.35,37.52-122.35,11/2/15 15:58,3,1.732050808
38.5,-122.76,38.5-122.76,11/2/15 16:09,14,3.741657387
37.74,-122.44,37.74-122.44,11/2/15 16:21,3,1.732050808
37.34,-121.95,37.34-121.95,11/2/15 17:50,2,1.414213562
38.45,-122.68,38.45-122.68,11/2/15 18:07,22,4.69041576
33.6,-117.82,33.6-117.82,11/2/15 18:30,2,1.414213562
37.83,-122.22,37.83-122.22,11/2/15 19:40,3,1.732050808
38.48,-121.34,38.48-121.34,11/2/15 19:41,2,1.414213562
38.53,-122.81,38.53-122.81,11/2/15 19:43,15,3.872983346
